total_pop,pop_density,housing_density,County,hh_income,land_use,State,EPA_region,native_prop,Climate_Zone
14202,4.7,4.6,06051,55087,6,6,9,0.021264610618222785,West
415057,126.5,42.4,06053,59271,3,6,9,0.013164456930012022,West
136484,182.4,73.2,06055,67389,4,6,9,0.00775182438967205,West
98764,103.1,54.9,06057,57121,5,6,9,0.01057065327447248,West
3010232,3807.7,1326.8,06059,74344,1,6,9,0.006023455999404697,West
348432,247.6,108.5,06061,74447,2,6,9,0.008641571382651422,West
20007,7.8,6.1,06063,44000,6,6,9,0.026940570800219922,West
2189641,303.8,111.1,06065,57768,1,6,9,0.010828259061645265,West
1418788,1470.8,576.3,06067,56439,1,6,9,0.010084663811647687,West
55269,39.8,12.9,06069,65771,2,6,9,0.0161935262081818,West
2035210,101.5,34.9,06071,55845,2,6,9,0.01114823531723999,West
3095313,735.8,276.9,06073,63069,1,6,9,0.008509640220552816,West
805235,17179.2,8041.8,06075,71304,1,6,9,0.004997298925158494,West
685306,492.6,168,06077,54341,3,6,9,0.01050041879102182,West
269637,81.7,35.6,06079,57365,3,6,9,0.009405237411779541,West
718451,1602.2,604.4,06081,85648,2,6,9,0.00460156642554607,West
423895,155,55.9,06083,60078,3,6,9,0.012939525118248623,West
1781642,1381,489.8,06085,86850,1,6,9,0.007274188641713655,West
262382,589.4,234.7,06087,65253,3,6,9,0.008586717076628732,West
177223,46.9,20.5,06089,43944,4,6,9,0.027930911901954035,West
3240,3.4,2.4,06091,52950,6,6,9,0.013580246913580247,West
44900,7.2,3.8,06093,36981,6,6,9,0.040400890868596884,West
413344,503,185.8,06095,68409,3,6,9,0.007770767206007587,West
483878,307.1,129.8,06097,63274,3,6,9,0.013410405102112517,West
514453,344.2,120.1,06099,51094,3,6,9,0.01147237940103372,West
94737,157.3,56.2,06101,50944,4,6,9,0.014408309319484468,West
63463,21.5,9.1,06103,38137,5,6,9,0.025904857948726028,West
13786,4.3,2.7,06105,38725,6,6,9,0.04751196866386189,West
442179,91.7,29.4,06107,43851,3,6,9,0.015814862306893815,West
55365,24.9,14.1,06109,47462,5,6,9,0.018766368644450464,West
823318,446.7,152.8,06111,75348,3,6,9,0.009799372781841282,West
200849,197.9,74,06113,57077,2,6,9,0.011023206488456502,West
72155,114.2,43.7,06115,46807,4,6,9,0.023213914489640358,West
441603,378.2,139.7,08001,54666,2,8,8,0.013396648120597007,Southwest
15445,21.4,9.1,08003,35935,6,8,8,0.028034962771123342,Southwest
572003(r39380),716.7,298.6,08005,58719,2,8,8,0.007627582372819723,Southwest
12084,8.9,6.5,08007,56068,6,8,8,0.018785170473353194,Southwest
3788,1.5,0.9,08009,36017,6,8,8,0.013463569165786695,Southwest
6499,4.3,1.5,08011,36412,6,8,8,0.02400369287582705,Southwest
294567,405.6,175,08013,64839,3,8,8,0.00621929815627684,Southwest
55889,1691.9,685.5,08014,75590,2,8,8,0.006011916477303226,Southwest
17809,17.6,9.9,08015,42941,6,8,8,0.010781065753270818,Southwest
1836,1,0.5,08017,47125,6,8,8,0.007080610021786492,Southwest
9088,23,14.4,08019,60426,2,8,8,0.007922535211267605,Southwest
8256,6.4,3.3,08021,33627,6,8,8,0.022044573643410854,Southwest
3524,2.9,2.1,08023,24388,6,8,8,0.029511918274687854,Southwest
5823,7.4,2,08025,38189,6,8,8,0.023870856946591103,Southwest
