GEOID,county_type
37199,non-AI
38011,non-AI
38019,non-AI
38001,non-AI
38003,non-AI
38013,non-AI
18101,non-AI
18091,non-AI
18093,non-AI
18095,non-AI
18097,non-AI
18099,non-AI
18113,non-AI
18103,non-AI
18105,non-AI
18107,non-AI
18109,non-AI
18111,non-AI
18129,non-AI
18115,non-AI
18117,non-AI
18119,non-AI
18121,non-AI
18123,non-AI
18127,non-AI
18125,non-AI
18141,non-AI
18131,non-AI
18133,non-AI
18135,non-AI
18137,non-AI
18139,non-AI
18157,non-AI
18143,non-AI
18145,non-AI
18147,non-AI
18149,non-AI
18151,non-AI
18153,non-AI
18155,non-AI
18169,non-AI
18165,non-AI
18167,non-AI
18159,non-AI
18161,non-AI
18163,non-AI
37039,non-AI
37025,non-AI
37027,non-AI
37029,non-AI
37031,non-AI
37033,non-AI
37035,non-AI
37037,non-AI
37049,non-AI
37041,non-AI
37043,non-AI
37045,non-AI
37051,non-AI
37047,non-AI
37067,non-AI
37053,non-AI
37055,non-AI
37057,non-AI
37059,non-AI
37061,non-AI
37063,non-AI
37065,non-AI
39081,non-AI
39099,non-AI
39085,non-AI
39087,non-AI
39089,non-AI
39097,non-AI
39095,non-AI
39091,non-AI
39093,non-AI
39111,non-AI
39101,non-AI
39103,non-AI
39105,non-AI
39107,non-AI
39109,non-AI
39127,non-AI
39113,non-AI
39115,non-AI
39117,non-AI
39119,non-AI
39121,non-AI
39123,non-AI
39125,non-AI
39139,non-AI
39129,non-AI
39131,non-AI
39133,non-AI
39135,non-AI
39137,non-AI
39151,non-AI
39141,non-AI
39143,non-AI
39145,non-AI
39147,non-AI
39149,non-AI
48327,non-AI
48333,non-AI
39153,non-AI
39155,non-AI
39161,non-AI
39157,non-AI
39159,non-AI
39163,non-AI
39165,non-AI
48329,non-AI
48331,non-AI
48345,non-AI
48335,non-AI
48337,non-AI
48339,non-AI
48341,non-AI
48343,non-AI
48367,non-AI
48347,non-AI
48349,non-AI
48351,non-AI
48353,non-AI
48355,non-AI
48357,non-AI
48359,non-AI
48361,non-AI
48365,non-AI
48363,non-AI
48379,non-AI
48369,non-AI
48371,non-AI
48373,non-AI
48375,non-AI
48377,non-AI
48395,non-AI
48381,non-AI
48383,non-AI
48385,non-AI
48387,non-AI
48389,non-AI
48391,non-AI
48393,non-AI
48407,non-AI
48397,non-AI
48399,non-AI
48401,non-AI
48403,non-AI
48405,non-AI
48429,non-AI
48409,non-AI
48411,non-AI
48413,non-AI
48415,non-AI
48417,non-AI
48419,non-AI
48421,non-AI
48423,non-AI
48427,non-AI
48425,non-AI
48431,non-AI
48433,non-AI
48435,non-AI
48437,non-AI
20123,non-AI
20125,non-AI
20129,non-AI
20131,non-AI
20147,non-AI
20133,non-AI
20135,non-AI
20137,non-AI
20139,non-AI
20141,non-AI
20143,non-AI
20145,non-AI
20159,non-AI
20149,non-AI
20151,non-AI
20153,non-AI
20155,non-AI
20157,non-AI
20175,non-AI
20167,non-AI
20165,non-AI
20169,non-AI
20161,non-AI
20163,non-AI
20171,non-AI
20173,non-AI
20187,non-AI
20177,non-AI
20179,non-AI
38045,non-AI
38065,non-AI
19195,non-AI
19197,non-AI
20001,non-AI
20011,non-AI
20005,non-AI
20003,non-AI
20007,non-AI
38057,non-AI
38059,non-AI
38063,non-AI
38081,non-AI
38067,non-AI
38069,non-AI
38073,non-AI
38075,non-AI
38077,non-AI
38093,non-AI
38083,non-AI
38087,non-AI
38089,non-AI
38091,non-AI
38105,non-AI
38101,non-AI
38103,non-AI
38095,non-AI
38097,non-AI
38099,non-AI
39013,non-AI
39003,non-AI
39001,non-AI
39007,non-AI
39005,non-AI
39009,non-AI
39015,non-AI
39011,non-AI
39017,non-AI
39019,non-AI
39021,non-AI
39037,non-AI
39023,non-AI
39025,non-AI
39027,non-AI
39029,non-AI
39031,non-AI
39033,non-AI
39035,non-AI
39049,non-AI
39039,non-AI
